Date,Ticker,Currency,Price
2015-01-05,TPX,JPY,1401.09
2015-01-06,TPX,JPY,1361.14
2015-01-07,TPX,JPY,1359.8
2015-01-08,TPX,JPY,1377.67
2015-01-09,TPX,JPY,1380.58
2015-01-13,TPX,JPY,1374.69
